zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36067,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36064,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36068,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35180,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35181,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35182,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35184,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35185,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35186,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35187,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36512,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35449,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35448,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35441,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35440,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35442,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35444,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35447,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35446,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
